trial,cf_mean_vae-ridge,cf_mean_adalead-ridge-0.2,cf_mean_adalead-ridge-0.15,cf_mean_adalead-ridge-0.1,cf_mean_adalead-ridge-0.05,cf_mean_adalead-ridge-0.01,cf_mean_biswas-ridge-0.02,cf_mean_biswas-ridge-0.015,cf_mean_biswas-ridge-0.01,cf_mean_biswas-ridge-0.005,cf_mean_pex-ridge,cf_mean_cbas-ridge-0.1,cf_mean_cbas-ridge-0.2,cf_mean_cbas-ridge-0.3,cf_mean_cbas-ridge-0.4,cf_mean_cbas-ridge-0.5,cf_mean_cbas-ridge-0.6,cf_mean_cbas-ridge-0.7,cf_mean_cbas-ridge-0.8,cf_mean_cbas-ridge-0.9,cf_mean_dbas-ridge-0.1,cf_mean_dbas-ridge-0.2,cf_mean_adalead-fc-0.2,cf_mean_adalead-fc-0.15,cf_mean_adalead-fc-0.1,cf_mean_adalead-fc-0.05,cf_mean_adalead-fc-0.01,cf_mean_biswas-fc-0.02,cf_mean_biswas-fc-0.015,cf_mean_biswas-fc-0.01,cf_mean_biswas-fc-0.005,cf_mean_pex-fc,cf_mean_cbas-fc-0.1,cf_mean_cbas-fc-0.2,cf_mean_cbas-fc-0.3,cf_mean_cbas-fc-0.4,cf_mean_cbas-fc-0.5,cf_mean_cbas-fc-0.6,cf_mean_cbas-fc-0.7,cf_mean_cbas-fc-0.8,cf_mean_cbas-fc-0.9,cf_mean_dbas-fc-0.1,cf_mean_dbas-fc-0.2,cf_mean_dbas-fc-0.3,cf_mean_dbas-fc-0.4,cf_mean_dbas-fc-0.5,cf_mean_dbas-fc-0.6,cf_mean_dbas-fc-0.7,cf_mean_dbas-fc-0.8,cf_mean_dbas-fc-0.9,cf_mean_adalead-cnn-0.2,cf_mean_adalead-cnn-0.15,cf_mean_adalead-cnn-0.1,cf_mean_adalead-cnn-0.05,cf_mean_adalead-cnn-0.01,cf_mean_biswas-cnn-0.02,cf_mean_biswas-cnn-0.015,cf_mean_biswas-cnn-0.01,cf_mean_biswas-cnn-0.005,cf_mean_pex-cnn,cf_mean_cbas-cnn-0.1,cf_mean_cbas-cnn-0.2,cf_mean_cbas-cnn-0.3,cf_mean_cbas-cnn-0.4,cf_mean_cbas-cnn-0.5,cf_mean_cbas-cnn-0.6,cf_mean_cbas-cnn-0.7,cf_mean_cbas-cnn-0.8,cf_mean_cbas-cnn-0.9,cf_mean_dbas-cnn-0.1,cf_mean_dbas-cnn-0.2,cf_mean_dbas-cnn-0.3,cf_mean_dbas-cnn-0.4,cf_mean_dbas-cnn-0.5,cf_mean_dbas-cnn-0.6,cf_mean_dbas-cnn-0.7,cf_mean_dbas-cnn-0.8,cf_mean_dbas-cnn-0.9
0,0.2851091210710613,0.4010725362627179,0.40918282665710354,0.41691689015610506,0.4323752221111415,0.4291390310994293,0.34186610372914117,0.3559910294770201,0.37314665948389414,0.39114416968596605,0.34480624838575713,0.29560141229812475,0.3006981013607564,0.2999252719257357,0.30760348368510226,0.3095037892289755,0.31855619327867135,0.3312855184843119,0.3603277571828654,0.45668751033184296,0.3127839928304884,0.40773849768086456,0.38336399409732325,0.39205187342067505,0.40194460878395377,0.4179790986554247,0.415942302806368,0.3366990955692834,0.3467794549911605,0.36241357284039816,0.3824392352324184,0.34070383362202794,0.2883087113547914,0.2913273479560976,0.2909394222286213,0.28981837052345677,0.2903436378283629,0.29111567325384535,0.29158156515935846,0.2936782469689675,0.2948238932230082,0.3127805608197633,0.3151199978537684,0.3166327946104741,0.32374174008418677,0.3384711240770002,0.3429874430565726,0.3552650274055103,0.3500429352733986,0.35179649354235915,0.353869381351911,0.360068760050278,0.3659168759134364,0.38050529279807743,0.38297991779330287,0.3114529662275162,0.31922126805497125,0.33160472063927354,0.35355254163899313,0.3240598096736526,0.28769698814589073,0.28866082216802674,0.2882632415293357,0.28884039620570534,0.28874637613362925,0.28993370270272784,0.2895880601372884,0.2891775658906581,0.2891688832120325,0.30977602465670523,0.3117469794960851,0.31657410248034296,0.3127845023595654,0.3313273929607572,0.3073520535857995,0.3243628507966434,0.3219661299140867,0.3179182187451489
1,0.28496965626130494,0.3993010079978711,0.4103885996339375,0.4172830799804473,0.43058366274776666,0.42864176724838754,0.3416479982643277,0.35230426510821317,0.37252869844023384,0.3916392074873747,0.3453563252283916,0.29497385609877064,0.30002755010115195,0.3021514613020454,0.30743239701753805,0.3110510718839872,0.32006165008634263,0.33162563384955435,0.36213325677631203,0.45418661779253655,0.3112972545174548,0.409143441448322,0.3852722999364554,0.3915127146064631,0.40144779720997,0.4184522675295362,0.4165068983006504,0.336972132025296,0.346441146537097,0.3647048022089932,0.3819362556472721,0.3403999803320306,0.2887845377073297,0.289302605926339,0.29131581385427263,0.2904764066525322,0.29040968170743653,0.29144634569834194,0.2910510517266586,0.2941432095783623,0.2941273734439834,0.3128707594731961,0.31554079589357725,0.3194867919390065,0.3222037266277608,0.33734044524946716,0.34294196800363186,0.354313670384019,0.3481008084605187,0.3524368051019859,0.3529286131906315,0.3597537614920134,0.3663433845440735,0.38015826821889426,0.3830181798656402,0.3109483817981235,0.3184550704093364,0.33152432083940325,0.35390112708451726,0.3242168403652706,0.28747495566853276,0.2899189440233782,0.2889524598030371,0.29016197814653627,0.28944562220422426,0.28960906388844876,0.2889236207355547,0.2907461228971091,0.28900281278320017,0.30999800642549835,0.30968789778565575,0.31519611597155656,0.3133107781134597,0.33055189856785716,0.3076102326317089,0.3243176405638651,0.3211576759234892,0.31736303436648333
2,0.28643867906574577,0.3999581594825153,0.40993036344980965,0.4169676653088954,0.43237701497764464,0.42884041435829795,0.3426734564856388,0.3545911410679515,0.37279513342566,0.3906445192466922,0.3483877114419921,0.2944218153474502,0.30043344359557433,0.3009638858086421,0.3068110761453672,0.3113460806424838,0.31811345076895875,0.33178734190852716,0.36167707684082584,0.4559877478971222,0.3116002757263763,0.40863634572639784,0.3847191899521914,0.39392497095239865,0.40047398086666713,0.4178237744020356,0.41475263513837946,0.3353210504440977,0.3467731041007271,0.362284074880933,0.38113376709516544,0.3431529553924162,0.28863869493937294,0.2908434818868381,0.29233082682051525,0.2905889580407039,0.29117944951950936,0.2916633206574093,0.2917120429204533,0.29274065344445477,0.29467362919599477,0.3134113346948841,0.3140057775097648,0.3175977010796118,0.3235188066770261,0.33686463176908865,0.34734303686155793,0.35416578217631695,0.34678332157284836,0.35232710565267644,0.3534365186598567,0.35956108055400704,0.3659484125797195,0.3805573128927665,0.38363320817073554,0.31188580514579217,0.3191244671737373,0.33234164678695005,0.3539896886608673,0.3240197305382034,0.28932919463659756,0.2888545607754721,0.2889523040789915,0.2890999637292577,0.2884783734950153,0.28918530062165343,0.2899386291417991,0.2892685485952416,0.2883071096751392,0.3095106875207678,0.31242976286825747,0.31729878680192564,0.3138830166748004,0.33092926291728203,0.30783927295314106,0.3252996182851468,0.323023009985757,0.31681456159880056
3,0.2853714842239436,0.4009240290997466,0.40881183528822573,0.41755731919359323,0.43374375271052756,0.42900212526011966,0.3430443151038006,0.35355743865570255,0.3749099297438855,0.39088513729715907,0.3447214305226099,0.29531902100598745,0.2999621715260161,0.30226600231506234,0.30816265900652984,0.31112694696602083,0.3197470468871852,0.33019727364549784,0.36249337892916256,0.4524920692428934,0.31271218061512057,0.4092217441931038,0.3853432674351805,0.39291096068197034,0.4017571053065964,0.41805072312963365,0.41543942737890965,0.33491466912829426,0.3470583394061642,0.3628879249136685,0.3823048141725022,0.3440950901099796,0.2893541718566555,0.2901583368220523,0.29149303616364874,0.28934820873984723,0.29146136701344655,0.2918497403121457,0.2917583421397297,0.29444460120037075,0.2957300751819073,0.3126045374762867,0.3149121441128308,0.3165972310387084,0.3239015014947754,0.33827284411709174,0.34499549106420385,0.3540991611132566,0.3476019708598808,0.3523628042012708,0.3539035282256823,0.3601851824891146,0.36619477935984357,0.3813366431739023,0.3839520703806984,0.3113264307693556,0.31865256961082056,0.33230062170966485,0.3543146077231138,0.32368686543809916,0.2889982171779043,0.2891473561427804,0.2889473577503606,0.2882040498142958,0.2892693790176448,0.2900366469552117,0.2904986943050173,0.2893271577899385,0.28917586740095985,0.3097402620804768,0.31170360180410067,0.3160629687212579,0.3133116915495907,0.33251879612388135,0.3081308900622338,0.3249949272543421,0.3220904756425838,0.3173508668292251
4,0.28636843779346044,0.3995783527143715,0.410060849589282,0.41804054769959686,0.4323012289262039,0.42897237023427726,0.34327729370673715,0.3544068765643301,0.373922986634467,0.3905706729013053,0.34649077934713624,0.2961138611021433,0.30092759260902496,0.30096648227894623,0.30772025388585755,0.309399666008695,0.3191982631354857,0.3311016749928054,0.3611084378113588,0.4545571811303577,0.31131955874015593,0.40929662190264093,0.3853542877654238,0.3932628742839213,0.4011896131957401,0.41818304757601577,0.41683569725303277,0.334711234185366,0.3485853161611197,0.3623335955921729,0.382891333941887,0.3394853647298208,0.2885274307499398,0.29032416319598997,0.29173678620513904,0.2888678928521347,0.291539481753244,0.29233027885487345,0.2917821391841338,0.2936765323528664,0.2944348517414926,0.31247360331612734,0.315585093362786,0.3161504592470941,0.3242587651380355,0.33697549440673596,0.3424987739850006,0.3546109887285528,0.34765259550770317,0.3509566216632409,0.3535010686332711,0.3607202142493528,0.3677266201643045,0.38063289527149624,0.38390230546713067,0.31096555830310835,0.31842848076380803,0.3317119915361182,0.35377508950354,0.32517834275159496,0.28897813777419173,0.2899478033774196,0.2899950828907548,0.2892475932311595,0.28879700124496915,0.2899218018311863,0.2893570752813866,0.29062819750751323,0.2911394721360601,0.3098756510990028,0.31071547738624306,0.3177748565428026,0.3149302596369366,0.33227896542653007,0.30913821058020996,0.32526923884639736,0.3218170072047323,0.3182452318585538
5,0.2852829335650754,0.3993477571493098,0.40918623661328307,0.41602999173006006,0.42992660701318014,0.42799075231993855,0.3420926917485826,0.3543866828915533,0.3718058843869865,0.3916496837921275,0.3443813542197735,0.2950610121748205,0.2995047948492523,0.30020092768647544,0.3075758475599529,0.30958547911093265,0.3187284429441568,0.330863476505943,0.3615525207187616,0.4552021325762144,0.3113515950388286,0.41068821517777687,0.38306563098852675,0.3927460799639033,0.4003046537803047,0.41834940220238687,0.41513171879277716,0.33629558988858643,0.34540432365972673,0.363001007992328,0.38134470950458005,0.34100657495546793,0.2885355371650672,0.2912542402268798,0.2923368103461196,0.28856434761842686,0.2912111183258523,0.2914668001555773,0.29167423199675163,0.2923453627411422,0.29335911390891056,0.3123635508778126,0.3135475365781257,0.3170221619787302,0.32349312260128193,0.3383567950204138,0.3434261132203322,0.3522366714305349,0.3467598343823578,0.35140925333802964,0.35349254445739564,0.359361766070378,0.365608705777872,0.37967645301780173,0.38246034177401905,0.31134978893254095,0.31883964014317623,0.33251623065310604,0.3527462967833154,0.32500280149789507,0.2869594440520509,0.2876845150457821,0.28833275127981767,0.2882070035125897,0.28840754403989627,0.2897058446522408,0.2888033758067706,0.2897435565725202,0.28963171129434306,0.308887483683211,0.3106789200062093,0.31488978229394327,0.31405292993929285,0.33016640605787334,0.3071598629869386,0.3243684313190036,0.32171682215421504,0.31738465843413344
6,0.2848482548415551,0.3989402882429792,0.41161622852571655,0.416175506637245,0.43291829716382485,0.4279191230153476,0.34382960934260204,0.35401851845707893,0.3727185038100742,0.39139258831606627,0.34539759888423704,0.295442181932897,0.3006967599177918,0.30299321853371985,0.30820404455101436,0.3107934019654559,0.319566289714326,0.3325889893129911,0.362419985457506,0.45671659833561873,0.3115280450018829,0.41037067077514916,0.38432348178500864,0.3917144789240724,0.4005136125745709,0.4183388285125638,0.4148057281494382,0.33590697192822544,0.34644800719162605,0.36272783310921647,0.38248765196413875,0.34102736470232475,0.28752318029922136,0.2909890999327328,0.2901500703960353,0.28950979261157866,0.29054411417080894,0.28973944575445315,0.29280193455904996,0.295236301161176,0.2929172108950355,0.3108501594474544,0.3132027941846626,0.3169581848668453,0.3253561909969704,0.33815605745111577,0.344946293243817,0.35266067466308854,0.3465512632999521,0.3498652997984149,0.3531234040804763,0.36020544161956786,0.3653749864560622,0.3800282045093488,0.3832765719376778,0.3107936730161791,0.31883897865986205,0.3319921471415879,0.3532022656745223,0.3240930040567823,0.2882355818950593,0.28923232633889445,0.28879491357772247,0.28855322290848756,0.28872902357424535,0.2890594730168822,0.2893448388329332,0.2903867926100007,0.2887956704120058,0.30959251527630205,0.311326941227568,0.3162017934484021,0.3134080148190418,0.3313082410994946,0.30786507285627807,0.3247864649328121,0.3222792302700396,0.31763324265452486
7,0.28539401352861105,0.39964233903006346,0.4113300046167697,0.4163779767456464,0.43258784505570397,0.4298697483459065,0.34504120061167737,0.35395506106259694,0.37546271466160136,0.39116924170164763,0.3451257280075285,0.29610265260549956,0.3001123090672072,0.3012157936094459,0.30794403895349814,0.3113189492387918,0.3199302045934031,0.33205714277448056,0.3617064300066591,0.45473627904165165,0.3122107280871037,0.40881359052437555,0.3845728917780537,0.39352006377283827,0.40103383726142794,0.4183074477294505,0.41651232730399534,0.33515223200681316,0.34698250391474655,0.3623796318358228,0.38253281745104195,0.34319836370054313,0.28974237766487565,0.2909470550269187,0.2927168842096442,0.29029887365292995,0.29114071185012663,0.29063554798878816,0.29144089004999,0.2942576001432235,0.29568174299111966,0.3127981687875233,0.31426894047124787,0.31850469085153144,0.3256231358361053,0.33862823485387866,0.34471463735148405,0.35581028553321037,0.3485482039545398,0.35119120339710397,0.35332321343579515,0.36033067369725214,0.3662878010164967,0.37962196057858594,0.3834715753683967,0.30951030473775004,0.3195970131799486,0.331603994377433,0.35338462731579556,0.3251841885012169,0.28765896458088736,0.28885706423095214,0.2893102607210304,0.2901835651894586,0.2894405319280043,0.28938383092797176,0.2893637961687876,0.2905361644935565,0.29025949353958425,0.3090450185720873,0.3112687185801362,0.3173260006952809,0.31380222471922475,0.3318050606490149,0.307732880722505,0.32607754406749523,0.32175729599727454,0.3177925740476202
8,0.28374615713165985,0.4006789929549464,0.4099432228964343,0.4156193322964042,0.43148534812549977,0.42708380927746736,0.34216861486638506,0.3534939001928853,0.3715783830209934,0.39084900191713773,0.3467731086843539,0.29539389261456517,0.30053789539581577,0.30171590221034555,0.3074592348114013,0.3108157496372111,0.31872511113054636,0.3307083621424647,0.3601524516324486,0.455862564938796,0.3112607305696954,0.40893571255460676,0.38426194789177565,0.3917021720181754,0.40115687394310834,0.4180197630300284,0.4150630993772279,0.33575436374328865,0.3455255282899989,0.3631191785583569,0.38151645899526804,0.3408366005821247,0.2902936627069345,0.2904142388056831,0.2917709015178095,0.28998507663670137,0.2899485370990508,0.2901955433435606,0.2919028429018014,0.2940138558160651,0.2938823828868174,0.3123274088246427,0.315426213181034,0.31670660928910604,0.324984536124057,0.33756119708417553,0.3433390987247543,0.35340298094148215,0.34563151122440866,0.3496242537959173,0.3524699056897581,0.35922880728105466,0.3656621479468381,0.38016734991993856,0.3823350914718455,0.31112273424572684,0.3185882022636473,0.3323330636841451,0.3534567051535396,0.32438195202910314,0.28623206512290666,0.28997443624236613,0.2877325649552853,0.28916316576704904,0.2887532673946232,0.28932781330707413,0.2890217610958941,0.28996945953203357,0.28973568323035453,0.3094561403770617,0.31064538976669054,0.3160995535781276,0.3120656273427314,0.33074171843427985,0.307434462729698,0.32499628762725513,0.32099427332229685,0.31780771681937986
9,0.2867037424694362,0.40075656345684957,0.41114970860075123,0.41791429381432726,0.4331589387398856,0.4290884215969231,0.34301562814851694,0.35356435632936645,0.37252184625607576,0.3909580127690839,0.34422416576228726,0.2952365393250187,0.3000108997496593,0.30105642528547594,0.30825761871980567,0.3096842454632781,0.31928922967141454,0.33075410397908894,0.36274801126666695,0.45453342533600527,0.31178660533600927,0.40879467069355085,0.3838104808470171,0.39293708991962606,0.40243988833014827,0.4186501157904893,0.4162483729348861,0.33534963331812534,0.3465853287735266,0.3628131422232714,0.38172823563663205,0.3411860022113403,0.2892783083235411,0.2910237637947641,0.29107846039483865,0.29093792577840794,0.2903383722088169,0.2912487729638019,0.2913720262959812,0.29376731731390854,0.29434716605779326,0.31170046425386133,0.3146715557864791,0.3166803387108225,0.32291512149817714,0.3377943745234088,0.34241304258138305,0.35468095574969377,0.34640920871676945,0.3493591806385649,0.35375439207513215,0.36009132075082884,0.36643548492192474,0.3802132097651753,0.38331662992116505,0.30999994523589147,0.31900145036167554,0.33231364973793315,0.3540512659170147,0.32423608132927656,0.28845646015245974,0.28819854837688647,0.2891459650536034,0.28982301860883775,0.28887115552828585,0.28905481491146284,0.28880213477707467,0.28979082534511874,0.2893416842271892,0.31020653321625696,0.3128689377562946,0.3164099916040558,0.31409369904602147,0.33008199179335196,0.30817791902007574,0.32554743452679963,0.3222539810493931,0.3179141833798185
